,合計,男,女
總計,2472547,1173910,1298637
松山區,188799,88119,100680
信義區,202981,96236,106745
大安區,283034,131658,151376
中山區,211591,97623,113968
中正區,147515,69999,77516
大同區,118554,57170,61384
萬華區,173004,84254,88750
文山區,256948,122421,134527
南港區,113720,55184,58536
內湖區,272202,129211,142991
士林區,264019,127088,136931
北投區,240180,114947,125233
