區域,合計,男,女
總計,2478124,1179782,1298342
松山區,188926,88397,100529
信義區,203098,96504,106594
大安區,287544,134098,153446
中山區,210447,97472,112975
中正區,147482,70160,77322
大同區,118445,57280,61165
萬華區,173345,84705,88640
文山區,256942,122726,134216
南港區,113641,55317,58324
內湖區,271853,129409,142444
士林區,264537,127560,136977
北投區,241864,116154,125710


