,合計,男,女
1月,2514425,1197417,1317008
2月,2504597,1192907,1311690
3月,2490445,1186053,1304392
4月,2478124,1179782,1298342
5月,2470599,1175883,1294716
6月,2464452,1172552,1291900
7月,2462482,1171248,1291234
8月,2461695,1170539,1291156
9月,2460932,1169771,1291161
10月,2465610,1171422,1294188
11月,2472547,1173910,1298637
